Profile_Name,Rating_Star,Headings,Base_Reviews,category
partygirl,5.0 out of 5 stars,AWESOME,"I really like Text Me. It helps me reach my Mom when I need to, It helps me reach my Dad so I can talk to him once in a while, and if I ever get in an emergency I would be able text someone that I know could help me at that moment  Thanks, Anna Lyons",user_experience
princessblueberry13,4.0 out of 5 stars,it's great but one problem....,I don't like that you have to get credits to call but other than that it's perfect for texting.,user_experience
sue,2.0 out of 5 stars,Two Stars,Okay,other_information
Linda Davis,4.0 out of 5 stars,Fun,Fun way to connect with my granddaughter.,user_experience
Amanda Sharp,2.0 out of 5 stars,Not what it appears to be,"People have to join, you can't add contacts without granting access to other apps. No thanks! I will find an easier app",issue
Jackie,5.0 out of 5 stars,Jackie,So cool it is awesome,user_experience
Dan S,1.0 out of 5 stars,Waste of time!!,Didn't work!!!,user_experience
Gavyn,5.0 out of 5 stars,Amazing app!,I think this app is great you can text call and send videos and images for free! I don't have a phone but it's like I do now!,user_experience
none,5.0 out of 5 stars,it's pretty good nothing badÃ°Å¸Ëï¿½Ã°Å¸Ëï¿½,It's good to me nothing bad,user_experience
Kernak,5.0 out of 5 stars,Amazing,Extremely useful application.,user_experience
matt,5.0 out of 5 stars,5 stars,I gave this five stars because I am 13 and my mom and dad gave me a tablet for my birthday even though I want a phone. I just use this app to text my mom and dad when I am babysitting!!!!!!!,user_experience
strong & independent,5.0 out of 5 stars,Five Stars,great for people with limited access to communications,user_experience
Hello Ã¢ï¿½Â¤Ã¢ï¿½Â¤Ã¢ÅÅ,5.0 out of 5 stars,amazing,Awesome!Ã¢ï¿½Â¤Ã¢ÅÅ,user_experience
James,5.0 out of 5 stars,safe,I can text my girlfriend for free,user_experience
PeterSA,2.0 out of 5 stars,Not acceptable for voice calls.on Kindle.,"I was looking for a complete communications app. This is OK for text, but totally unacceptable for voice on the Kindle Fire as the volume is too low to be usable. Initially, I thought the Kindle (Fire HD8, 7th gen) was defective, but found that the volume is fine on all other apps",issue
John Gale,5.0 out of 5 stars,Great option to have on a device if regular phone ...,Great option to have  on a device if regular phone service is not an option,user_experience
Amazon Customer,5.0 out of 5 stars,Lovin  it!!!!!!,I love it I get to text my friends for free also I Centro call my friends who have the app!!!!!,user_experience
ANTONETTE GRAHAM,5.0 out of 5 stars,this app is cool download now,This app so cool,user_experience
hannah malynn patricia Hendricks,5.0 out of 5 stars,Love it,Love it so much it's amazing.,user_experience
Adam Knezevich,3.0 out of 5 stars,Three Stars,Like my local area code and all but thats about it,user_experience
catrina,5.0 out of 5 stars,love it audio amazing just like iphone,love it so cooooool,user_experience
Mommy to 3,5.0 out of 5 stars,baller,Amazing. It works perfectly,user_experience
Ryan,5.0 out of 5 stars,good,It great for texting,user_experience
Kindle Customer,5.0 out of 5 stars,exactly what i was expecting,"In a good way, good app will continue to use",user_experience
insnigboramus,3.0 out of 5 stars,Cool App!,"This is a pretty cool app for the situation in our household.  My wife and I, both in our early forties, are disabled and therefore are together most of the time.  Because of this we share a phone seeing no need to add the expense of another phone.  But now when the wife is gone we can keep in contact not needing to worry about one another's well being.  And it's FREE!! How cool is that?The only issue we have had is with voice calls.  When using voice the person on the other end cannot be heard on the Kindle.  They can hear me just fine.  Don't know if I'm doing something wrong or what.  I wonder if others have this issue?  Haven't attempted video yet so can't comment.The voice issue aside I think this is a great app!  I've already recommended it to several folks.",issue
JoAnne,5.0 out of 5 stars,this is so fantastic! I only have Kindle but it is wonderful ...,this is so fantastic!  I only have Kindle but it is wonderful to get textme that i don't need to buy an expensive phone just to text!!  Love TextMe  Joanne AndersonGainesville FL,user_experience
Amazon Customer,4.0 out of 5 stars,Great app!,graet app,user_experience
Jessica,3.0 out of 5 stars,Weird,The app keeps sending me unknown missed calls and texts from phone numbers I don't even know. Who knows if they are even real people. They say weird messages with someone else's name in it for job opportunities and stuff.Ã¢ï¿½â,issue
S. Lamon,5.0 out of 5 stars,Nice extra feature for your phone,Amazon..AGAIN...why do u ask me about the..THICKNESS..and ...SHEERNESS...of this phone app????,user_experience
Kindle Customer,5.0 out of 5 stars,Great watch,Works fine. Great value,user_experience
Amazon Customer,5.0 out of 5 stars,Great app,Great starter app to teach texting without having to buy a phone.,user_experience
Cass Wessel,2.0 out of 5 stars,I don't like this app,I don't like this app. Removed it from my Kindle. Too many kinks in it. Didn't do what I wanted it to do.,feature
asalaz,5.0 out of 5 stars,Awesome app,This app is awesome. I don't have a phone yet so I can text my friends and call them.,user_experience
LynB,4.0 out of 5 stars,Really like it!,"Great to be able to text from my Kindle.  For some reason, the emojis won't work, though.",issue
Ginny,3.0 out of 5 stars,Text me to make calls,"Only used once to make phone call. I heard well on my end, but person I called said there was bad ekco.",other_information
Amazing,5.0 out of 5 stars,I'm in love with it,I can do whatever I want,user_experience
Amazon Customer,5.0 out of 5 stars,AMAZING AWESOME and SUPER,It is AWESOME on other apps it takes awhile but on this one it's faster,user_experience
Angie,4.0 out of 5 stars,Its ok,I can tex and talk  to my son,user_experience
Brandy,1.0 out of 5 stars,One Star,"Ad heavy, crashes",issue
Lindsay  Resteman,3.0 out of 5 stars,can't delete it,I can't delete it bc it's says install but I can still u the app,user_experience
Jen H,5.0 out of 5 stars,Does exactly what I downloaded it to do,I got this app after I lost my phone. It works great to text my phone and find it. This is what I wanted and it is perfect.,user_experience
ronnie2,5.0 out of 5 stars,Five Stars,I really like the text me and it works great.,user_experience
Renate Dietrich,1.0 out of 5 stars,Unsafe for kids!,"I am appalled that Amazon would put this on the kindle fires which are intended for children. My kids never downloaded it, yet it showed up on their kindled. How is this in any remote way safe for kids to chat with someone they don't know??? I took my kids kindles away because of apps like this... I was informed by Amazon that this app comes with the device automatically so my kids didn't have to download it.",user_experience
T. J.,2.0 out of 5 stars,Two Stars,Never worked consistently,user_experience
Annelise8769,4.0 out of 5 stars,Nice text app,"This is a vary nice app! The only problem I had was after a few months of ushering it, it started acting up. When I send a picture to someone, they get it, but when someone trays to send it to me, I end up not getting it. I don't know what is up. But other then that, Its a very good app!",issue
Karen Lopeteguy,5.0 out of 5 stars,Peace of mind!,Definitely great idea for the price! Especially when you donÃ¢â¬â¢t have a land line or a cell phone for your kids. At least you have some peace of mind that they can contact you! Or call 911!!!,user_experience
glav5,2.0 out of 5 stars,Works or doesn't work---it is a guessing game.,Can't get it to work.,user_experience
Kristin head,4.0 out of 5 stars,awesome,It helps my family not to buy me a phone and it's free it helps alot,user_experience
stevenoguinn,2.0 out of 5 stars,Needs some work to be viable,Seems difficult to setup,user_experience
gregg williams,4.0 out of 5 stars,works good for me,"does a good job, I do not use for voice because of poor internet.",user_experience
Trish Harrington,4.0 out of 5 stars,Works great for when you need to text,"Works great for when you need to text, my son broke his phone and used my Kindle with this app to keep in contact with people",user_experience
Pjhrab,2.0 out of 5 stars,They are intrusive and hound you to call and text too much,"I am ""old school"" and don't have a cell phone near me at all times.  I wanted a way to text a grandchild sometimes and this program kept hounding me to make more calls and texts to keep my number...I let it lapse and then deleted the app.",feature
Lynnese Paulson,4.0 out of 5 stars,Four Stars,as expected,user_experience
gina tulip,5.0 out of 5 stars,works great for me,"It's free.  I use it with no problem on my kindle fire HDX.  I can text any cell for free.  I have not tried the phone, as I use my home phone.",user_experience
benjamin piernik,2.0 out of 5 stars,Two Stars,dont like,user_experience
Carl Olson,4.0 out of 5 stars,Seems to work good,Works good on my kindle!,user_experience
Kindle Customer,4.0 out of 5 stars,#awesome,It really works idk Wat I would do with out it,user_experience
Patricia J. Bogert,5.0 out of 5 stars,Great,"A great app, works really well, easy to use.",user_experience
love dogs,5.0 out of 5 stars,It`s  a cool app,This is one of the best apps that you can text your friends and share information about things. you can text anyone who has text me.,user_experience
Antoinette R. Brown,5.0 out of 5 stars,Its greatÃ°Å¸ââ¢,It works so well. It helps because I don't have a phone so this app is helpful.,user_experience
mike foster,5.0 out of 5 stars,works awesome,No problems works awesome,user_experience
usmc-mike,4.0 out of 5 stars,Good APP,Worked as advertised...no hassle install and use.  Directions could be a little clearer,user_experience
Josiah severance,4.0 out of 5 stars,no bugs,This is a good texting app that also allows you to do some thing like a skype call.,user_experience
Kristin Schultz,5.0 out of 5 stars,love texting on this app,The only problem I found was that you HAD to have WiFi. I really did not like that one thing everything else is great!,issue
tri,1.0 out of 5 stars,I didnÃ¢â¬â¢t order this,I didnt purchase this and I wonder if this is why IÃ¢â¬â¢m seeing a $4 charge on my bank statements Ã°Å¸Â¤Â¨Ã°Å¸Â¤â IÃ¢â¬â¢m going to look into this purchase further have no idea what it is.,user_experience
Annie,5.0 out of 5 stars,Five Stars,Love it. I am glad it worked.,user_experience
John and Amy Haun,5.0 out of 5 stars,the best,I love this app it helps with texting and calling but the only problem is that you need credits,user_experience
Bellatwinsfan1234,5.0 out of 5 stars,Textme,It is so call but it would be a little bit better if u guys gave us our minutes free,user_experience
Spooky Sophie,1.0 out of 5 stars,Awful,The texts should be free. Now they cost 5 credits per text. Don't waste your time. Takes forever to log on. Not worth it.,user_experience
Moonscythe,4.0 out of 5 stars,Good So Far!,"I've been having trouble with my cell, so I'm really glad to have a backup that can work for text and calls. So far, it's working like a charm! :)",user_experience
Earl L. Jackson,5.0 out of 5 stars,Very informative!!!,Great,user_experience
Gfdghhch,5.0 out of 5 stars,Great,Great app for tablet,user_experience
Amazon Customer,3.0 out of 5 stars,How to video & who you can call. I am still trying to figure it out.,We are still trying to figure this one out. It keeps telling us if we donÃ¢â¬â¢t use it we lose it. We just got it.  HavenÃ¢â¬â¢t figured out how to do do video chat.,issue
Abigail Jean Skalley,3.0 out of 5 stars,Awesomsauce,Awesomesauce when you have wifi,user_experience
Emma Evans,5.0 out of 5 stars,Love it!Ã°Å¸ËÆÃ°Å¸ËÆ,You can't call or text normally on your kindle but here you can!!!Ã°Å¸ËÅ ,user_experience
Lamont Green,4.0 out of 5 stars,Four Stars,Good App delivered quickly. I may not be the best reviewer for this App.,user_experience
heidi chelala,5.0 out of 5 stars,super cool,Super cool,user_experience
T. Long,5.0 out of 5 stars,Helpful,"My phone is old and I can't teaxt or call on it. I can call and text from my tablet though, making it easier to communicate with my friends and family",user_experience
AA-RON,5.0 out of 5 stars,awesome,Thanks now I can txt me friends,user_experience
Grady Freeman,4.0 out of 5 stars,read and find out more,I gave it four stars cause u cant call on a kindle fire but the text is quick but the emojis arent giid but over all I think u should give this app a try.,user_experience
Paula D. Hill,4.0 out of 5 stars,good app,"For texting this is a good app. The only reason I have it 4 stars is that for talking it costs. Not really negative, it'd just good info to know before you download. Has worked excellent.I haven't had the need to contact them for any reason so I cannot speak to their customer service.",user_experience
Amazon Customer,5.0 out of 5 stars,Great for kids,"I downloaded this app for my 7 yr olds tablet, so she could text me when IÃ¢â¬â¢m at work. She loves it! Perfect app for kids.",user_experience
weezer,3.0 out of 5 stars,Free. But too many random text came through. ...,Free.  But too many random text came through.  I already deleted it.,feature
Anna Mae Eberly,5.0 out of 5 stars,Five Stars,I like it it's easy for me to send messages to my grandchildren,user_experience
claire,5.0 out of 5 stars,Keep in touch,Super easy to use,user_experience
Memblues,5.0 out of 5 stars,Went out of town and left my phone at home ...,Went out of town and left my phone at home. Luckily I had my Kindle & found this app. I was able to keep in touch with my Mother who was staying with my sick grandmother. Worked perfectly for both texts & calls.,user_experience
Anna s.,3.0 out of 5 stars,Convenient,Calling never works,issue
Hunter,3.0 out of 5 stars,Great before update,"I loved it when they didn't have to put in that update. Next thing I know my friends getting me through snap chat practically yelling why won't you text back. I would use a different app until they get this fixed all you can do know is sit for hours and hours staring at there new loading screen, ( the app looks way cooler with the update, but doesn't work Ã°Å¸ËÂ« )",feature
Isabellaboo52,4.0 out of 5 stars,it's pretty dang cool,This app is great for texting and calling. Only thing is that you start out with 10 credits and when you call someone who doesn't have the same app you lose credits depending on how long you where calling them for and when you lose all your credits you can't call any one you can still text but no call afterwards.,user_experience
Lil Jacq,3.0 out of 5 stars,like it,The only bad thing is every time I've tried to earn points I can't.o,user_experience
LASHANDRA WALKER,5.0 out of 5 stars,perfect app,This app is perfect for me. When you look for something free that's what you expect and that's what TextMe gives you,user_experience
KC,4.0 out of 5 stars,AWESOME( and FREE!),"I love this app it's really awesome! Haven't found any bugs or glitches, which is great. Only thing is, although it's great that you can call, you can hardly hear the caller's voice.",issue
LoKoGyRL67,5.0 out of 5 stars,Text Me,It's Perfectly Fine. . .,user_experience
Joel,1.0 out of 5 stars,Wha....??,"I am not the one to ask, as I hardly ever use my phone, much less text. Sorry! Ã°Å¸âÂ£",user_experience
lora gray,5.0 out of 5 stars,list,Great job of stuff people should make it,user_experience
Kmfb,3.0 out of 5 stars,Slow but ok,Slow but ok,other_information
geporter,5.0 out of 5 stars,Great!!!!,I love this app it is so handy,user_experience
Daveg61,2.0 out of 5 stars,Keep looking...,"Not impressed at all, to many ads and reminders to add money.  I've removed the app can do the same things better with Skype.",feature
kietzy,5.0 out of 5 stars,5star,Awesome for an 11year old,user_experience
Roger Thigpen,4.0 out of 5 stars,Effective Text Platform,Good. Not perfect but very good,user_experience
Kaitlin B.,5.0 out of 5 stars,Great,It's awesome,user_experience
crazytaz,2.0 out of 5 stars,Good app but has problems,Great app but has WAY too many ads and can't keep your number unless if you pay $3.99 a month,issue
katrina m lenz,5.0 out of 5 stars,Five Stars,It works fine.,other_information
MiKe n ike,3.0 out of 5 stars,"Was good at first, but...","When I first got the app i loved it. The calling feature was great and even though there were lots of ads the app ran smoothly. Then after about a week it went downhill. When I send texts, it sends them multiple times, and I used to be able to send pictures and videos but now whenever I try the app crashes. It takes about 40 seconds to 1 min for a text to send now, and it just keeps getting slower and more glitchey. I would not recommend this app Ã°Å¸âÅ½",issue
Mary J Fowler,3.0 out of 5 stars,TextMe,It's okay but a bit confusing until you get use to the idea you are not on a cell phone doing the texting.It will probably be fine once I have all the information in there as I assumed it would pull all the phone numbers along with everything else when I did the setup and it did not.,issue
Buckster,5.0 out of 5 stars,Really great!,"This app is so useful, and its actually free! It has helped me a lot to communicate with friends and family!",user_experience
Clayton Rokes,4.0 out of 5 stars,works pretty well,Not the best not the worst,user_experience
Melissa Winget,4.0 out of 5 stars,it's ok,"I've never been able to watch a video call, but the rest works fine.",issue
Sheila DiTocco,1.0 out of 5 stars,Try something else,Terrible. Impossible to figure out,user_experience
Amazon Customer,5.0 out of 5 stars,Five Stars,So far so good,user_experience
Kindle Customer,5.0 out of 5 stars,Great for my needs!,"I have had nothing but greatness from this app. I use this only on my Kindle. I use it solely for texting, and I'm a once-a-day or twice-a-day texter. I have honestly no need for the actual phoning ability, but I've accidentally called a couple of people and it did work, apparently, lol! I've been using this app for approximately a year. No issues, both thumbs up! :)",user_experience
Amazing,5.0 out of 5 stars,Great app for wifi calling,I like it so far.,user_experience
Leisa,2.0 out of 5 stars,... until I got a new phone but I didn't love it,My phone broke and the app got the job done until I got a new phone but I didn't love it,user_experience
Flontina Brown,5.0 out of 5 stars,eton,amazing working,user_experience
DJW,4.0 out of 5 stars,Good app,I downloaded this app on my 7 year olds kindle and it's an easy way to communicate him if I'm not home,user_experience
Kindle Customer,5.0 out of 5 stars,Five Stars,Very accessible. Clear calls.,user_experience
LadyByrd,3.0 out of 5 stars,Three Stars,Works ok.,other_information
H. Martinez,5.0 out of 5 stars,Great to communicate...,Love that I can text or call my younger children via there fire tablet when they are home and IÃ¢â¬â¢m work.,user_experience
Ruth,3.0 out of 5 stars,Only a few flaws,"This app is good for texting but I can't seem to get a profile picture of who I text. You will need money to buy credits. Credits are like the money. Having lots of credits you can call people. Having none you can't call people. You do start with 10 credits but if you are very social, you lose them almost automatically. When I first got this texting app I used it a lot, and I don't have Amazon coins so I had to just text.",issue
Rachel Walter,5.0 out of 5 stars,its great,It's worked really well and I have been able to talk to everyone I have wanted to,user_experience
Elizabeth Gasper,5.0 out of 5 stars,Like it,It's ok when you don't have your phone available,user_experience
Amazon Customer,5.0 out of 5 stars,OMG yes,This app is awesome I can text my friends and call them but a clue things about it to be aware of it says that you can face time but you can't and it freezes up and sometimes it doesn't let you send things some time but that might just how it works for me but it is pretty cool and there is this thing called credits and you can do things to earn them and you only use the credits to call people and the credits are for the minutes if someone calls you then you can't use the credits if you called some one you are using the credits but this app is awesome cool fun and it's nice cause you can text who you want!!!!!Enjoy it,user_experience
Michelle,3.0 out of 5 stars,Three Stars,Works well!,user_experience
5012490719,5.0 out of 5 stars,Five Stars,Works great for Amazon tablets,user_experience
Jane Bond,2.0 out of 5 stars,Couldn't add any contacts,Installed twice and spent much time in online searches but was never able to add a contact.  The app worked properly on a test text to myself.,issue
Margaret,4.0 out of 5 stars,TextMe works for me.,Seems pretty good. It does say free to down loading but  then wants me to pay for minutes. But it's not very  expensive and since I don't have a phone I probably will do that.  It is easy to use.,user_experience
bee's,5.0 out of 5 stars,i love this,I love it,user_experience
Vicki Wilson,5.0 out of 5 stars,Five Stars,I haven't really used it but 2 times so I have not had any problems so far,user_experience
Mary Moore,5.0 out of 5 stars,Wondering,"I love this app! The only thing I'm worried about though, is hackers. I was reading some reviews about the Talking Friends apps, and I heard about them. So I'm just looking at these reviews to see if anyone said anything about them. Just want to be safe!",user_experience
treesuh,4.0 out of 5 stars,Great Concept...but,"Well so far I have downloaded the new app but I'm stuck...nothing I have tried seems to get me any further. Even clicking on the help link didn't get me anywhere. Still, if I can get it to work it was worth the effort. I still have hope...",user_experience
JillWilly,5.0 out of 5 stars,Awesome App,The app is awesome it lets you text whoever you want for free! It is very useful in so many different ways. The only problem I have is that I can't call I can only text but other than that this is a Awesome App!,issue
Priscilla Silver,5.0 out of 5 stars,It's the perfect size.,My daughter loves it. It's the perfect size.,user_experience
Isabelle Hartman,5.0 out of 5 stars,Very easy,"Very easy, all that's needed is an email. You can text almost any number for free.",user_experience
Mazza,2.0 out of 5 stars,Useless,"I thought this would be great but no, it doesn't bring up all my contacts, just 2?? And when I tried to text one of these people it just didn't work.Not fit for purpose.",issue
Joseph Holly,3.0 out of 5 stars,"Good app, but far from free","It's a good app to have when you don't have a phone. However, they only start you out with 10 FREE credits. (One credit = one minute phone call). And, you either have to pay for credits; or you have to complete some surveys or download an app to gain more credits.",user_experience
smiles101,5.0 out of 5 stars,fun and easy to talk to friends that are far away.,"I have plenty of family and friends that live far away. Before I got this app, I would be lucky if they sent me a old-fashioned email. Now I can talk or even call them whenever I fell like it.  BEST TEXT APP I'VE EVER OWNED!  : D",user_experience
DPM,5.0 out of 5 stars,Allows SMS from your Kindle,Easy to setup and use.  You need to purchase a set of message subscriptions for continual use after the initial trial messages.  There are other Free apps with similar features.  This app is very popular.  The other Free apps may not be as secure as this one.  I am not a heavy SMS user som I am basing my concerns on what I have read.,user_experience
tlframer,4.0 out of 5 stars,I love it,"I liked it, though it was kinda confusing for me at least. I thought it was really cool, and I think you guys should try it. and if you don't like it then that's just your opinion and this is mine so.....listen to me if you want but you don't have too.:)",user_experience
ELZAGIRL,2.0 out of 5 stars,Didn't work good on my cell might work on more expensive cells,Made my cell mess up,issue
gregory kiss,1.0 out of 5 stars,One Star,"only used it once, now it doesn't work...",user_experience
Michael,5.0 out of 5 stars,Best,Works talking to my friend now,user_experience
jeff green,1.0 out of 5 stars,One Star,not mine,user_experience
tampaiseast,4.0 out of 5 stars,like it,so far I like it---I have not tries to use it as a talking device--only text--but I am busy and will give that part my full attention soon,user_experience
awesome 100,5.0 out of 5 stars,awesome,I can text whomever I want but I can't send picturesÃ°Å¸ËÅ¾Ã°Å¸ËâÃ°Å¸Ëâ¦,issue
Alfonso G.,3.0 out of 5 stars,It's okay.,"Okay it's great at the beginning. But you can't receive photos or any type of media. Also my account keeps making errors. After some time I can't send messages anymore for some reason. It just says error. And I checked if the texting to that phone number was free, it is. So Idk what's going on. Please help fix this.",issue
St. Louis,4.0 out of 5 stars,That you could receive a random from an unknown person,It does what it's suppose to do. Only thing I didn't like is that I received a random phone this morning.,issue
Melissalayton2,4.0 out of 5 stars,Great app!,This is a great app!  I love using my tablet to text and as a phone! And its free too! If it were easier to put in contacts I would have given 5 stars.,user_experience
Monica S.,1.0 out of 5 stars,Annoying,I got texts constantly trying to sell me things. It was horrible and I had to delete the app.,feature
Janet Norville,3.0 out of 5 stars,Three Stars,Its OK could improve  on staying connected,other_information
E,2.0 out of 5 stars,Won't load,So the new update came and I thought it was gonna be good but it will not load,issue
Kindle Customer,5.0 out of 5 stars,Best texting app ever made!!,Wow!!!! Best texting app ever! It can even text people on different devices!!!,user_experience
It's awsome!,5.0 out of 5 stars,It's awsome,I don't have a phone and I like to talk to family and finally I can,user_experience
Amazon Customer,5.0 out of 5 stars,Great app,good for keeping in touch with family or friends if their phone isn't activated,user_experience
omarmoreno,4.0 out of 5 stars,ivan moreno 315 burnham,I think it is cool but I can't get more credits it keeps on telling me come back later I do and no nothing but other then that it is cool,user_experience
Christopher Johnson,5.0 out of 5 stars,its really good Ã°Å¸âï¿½,you can text anyone,user_experience
Dr. A,3.0 out of 5 stars,Put a text through on my Kindle Fire when all I had was wifi.,"Works, but cumbersome.",other_information
Cheyenne counts,5.0 out of 5 stars,text me review,This app really helps to txt people. You won't regret downloading it!,user_experience
TIFFANY SWIFT,5.0 out of 5 stars,IT'S AWESOME U SHOULD TOTALLY GET IT.,I love it. I wish we had non WiFi calls and texts. :),user_experience
Jeff Trimble,5.0 out of 5 stars,Five Stars,Really good app so worth it,user_experience
Roxanne,5.0 out of 5 stars,Great app,"This app is great, it's free, and easy to use all you need is WiFi.",user_experience
Amazon Customer,5.0 out of 5 stars,Clarity of print very good.,Excellent,user_experience
I Humble,4.0 out of 5 stars,You can make calls!,That's what I was looking for. An app to make calls from my Amazon Fire Tablet. You'll need a WiFi connection & probably not be able to answer incoming calls but half the battle is won. Be ready for lots of adds in the free version.,issue
Kindle Customer,4.0 out of 5 stars,awesome,"I really love the app, and the only thing is I don't like the credit system.",user_experience
CatRNell,3.0 out of 5 stars,My link to family & friends.,"Revised Review.  Text is free.  Telephone number is not.  1 month use and suddenly a  notice when trying to text that it no longer supports texting.  Settings reveals  that to continue the number must  be reserved for an annualfee $4.99. Which I paid from my Amazon coins.  I'm gonna keep it cause it Works great on my Kindle Fire7. The ads are 1-2 lines w/logo and a month passes there are offers to delete them: for a one time annual fee,  or monthly fee, or combo annual fee includes telephone reserve. It does not show names only phone numbers, maybe a future feature. There are choices of ring chimes, and it keeps chiming till you get it (a feature I love). Out here in the country it works great off the dish WiiFii.",issue
mia naples,5.0 out of 5 stars,Definitely,I am literally in debt to this app,user_experience
Amazon Customer,1.0 out of 5 stars,What i think,Did not work,user_experience
graceface,4.0 out of 5 stars,I recommend this 100%,It's AWESOME,user_experience
Kindle Customer,2.0 out of 5 stars,"Works, but not great","Doesn't work with group chats, and you get spammed by telemarketers. The calls aren't truelly free, you have to watch a video for every one or two min.",issue
Pearl,2.0 out of 5 stars,Two Stars,Not what I expected.,user_experience
Socrates !,4.0 out of 5 stars,It works!,"I was surprised but it does work.  I havent listed my contacts in it, but the sms works well .  Need to check the security on it just to be sure, but so far so good.  I have a phone number. 'I'll keep you updated.",user_experience
Derek D.,5.0 out of 5 stars,I love it,I lovenit cause I can gwet it on !y tablet and now I can text my friends andncall. Them whenever I please!,user_experience
Scott Webb,4.0 out of 5 stars,talk without interruption lol,It good to have if you have a child and can call their house every day lol,user_experience
mazahreh,4.0 out of 5 stars,Four Stars,slow,user_experience
Ansley Mosley,5.0 out of 5 stars,love it,You can call from your tablet text or video call,user_experience
Patrick,5.0 out of 5 stars,awesome,This is the best app ever and child friendly,user_experience
JMD,5.0 out of 5 stars,Better Option,Great App.,user_experience
kkmk22e,4.0 out of 5 stars,over all a great app,Hi there. This app you need. Texting  is so easy. And I am 11!,user_experience
JOSE VILLALTA,5.0 out of 5 stars,Best texting App for kindle fire,This is the best app for kindle it doesn't have nothing bad with it and it's  not confusing,user_experience
Estella,4.0 out of 5 stars,Gr8 m8,Its a great app. I usually use it for a crisis line or texting my boyfriend and it really works well.,user_experience
bean,1.0 out of 5 stars,This app deserves 0 starts....,"Its so frustrating, constantly signing me out, making me sign back in just to erase all of my previous messages including new ones that I have just received an  haven't gotten to read. And now all it shows me when I open the app is a text that's sending, that I sent yesterday morning and wont let me do anything else. I have ran the repair app tool multiple times and contacted customer service for the issues. This app is being un installed. So annoying to deal with just to send texts. Not worth it.",feature
Domestic Goddess,5.0 out of 5 stars,ok,great app,user_experience
PB,3.0 out of 5 stars,This is an app my nephew downloaded to his device ...,This is an app my nephew downloaded to his device (connected to our account). It allows him to talk to friends.,user_experience
a. conley,4.0 out of 5 stars,i like it,Works just fine for me on my phone and kindle.,user_experience
this is the best game ever made in the USA today,4.0 out of 5 stars,REALLY,They would not give me credits when I didn't even call any body,user_experience
Kindle Customer,1.0 out of 5 stars,not free,"I might need this for 2-step verification. So I chose the ""free"" app. But that's a lie. It's not free. To get a single text, it's $4. That's not nearly free. That's a ripoff. I could go to a dollar store and get a burner phone for ten dollars per month and get unlimited texts. But I don't want a cell phone. I suppose in the days of two-step verifications, that means I won't be able to function online any more. I certainly won't choose to deal with a company that lies about its price. That should not be allowed, and Amazon should remove their app from the Fire store. False advertising is wrong. Poor value is wrong. I have no idea why there are positive reviews here. All paid for, I assume.",issue
radar1227,3.0 out of 5 stars,nice,It's good to text people,user_experience
dytonia holloway,2.0 out of 5 stars,Fix It,The videos won't play they say they will have new videos in a few minutes and never do,issue
sonia M. Gonzalez,1.0 out of 5 stars,did not order,I never ordered or used,user_experience
andria connell,5.0 out of 5 stars,Alyssa,I love it I get to talk to all my friends and I get to talk to them to so you should get it.,user_experience
buy this game and it will change your life.,4.0 out of 5 stars,JUST LIKE TEXTING ON YOUR PHONE,"Its litteraly like texting on your phone like normal. No money needed, put giant stickers,but just have limited call time and you could get more call time",user_experience
Jennifer,5.0 out of 5 stars,AMAZING!!!,I love this app it is great for a kindle. It is an easy way to communicate with people rather then paying 45$ a month for a phone that I only need to get in touch with 3 people!!Ã°Å¸Ëâ¬Ã°Å¸Ëâ¬ very satisfied!,user_experience
Mediocre,4.0 out of 5 stars,it works,It does what it's intended to,user_experience
Ronald Leo Baldwin,5.0 out of 5 stars,Five Stars,"Great little device, I use it all the time.",user_experience
Shanksfamily,5.0 out of 5 stars,"Great for youth, no need for a cell phone!",I was looking for an app for my 10 year old son in an effort to delay getting him a cell phone and this one is absolutely perfect for him and our needs as a family!!,user_experience
Kindle Customer,4.0 out of 5 stars,I like it,"Really cool, I just wished you could use it without WI-FI!",user_experience
Scott Harris,5.0 out of 5 stars,works,easy to use,user_experience
lisar915,4.0 out of 5 stars,Good app for a second phone number,Easy to use.  But people I call sometimes say they hear an echo,user_experience
Amy Adams,5.0 out of 5 stars,awesome:),It's free you can call it's like a phone for your kindle,user_experience
Amanda Cross,4.0 out of 5 stars,serves its purpose,"Works well,  will reassign your number if you front use the app often enough",user_experience
Diamonazia,5.0 out of 5 stars,Ridiculously Awesome,Has emojis..!! Thats all I care about. I LOVE THIS APP AND YOU WILL TO + ITS FREE EMOJIS,user_experience
Josephine,1.0 out of 5 stars,Apps and their developers - not public focused,"This app does not even open for me.  Just says ""TextMe has stopped working"" - and I haven't even been able to send a text from it.  That's as far as the download went.  Terrific !!!  It doesn't deserve even one star.",issue
Shawn,5.0 out of 5 stars,Awesome App,I really wanted a texting and calling app on my Kindle Fire to talk to my friends and family. I'm so glad that my friend showed me this app. :-) :-) :-) :-) :-),user_experience
Madeline LaPlante,5.0 out of 5 stars,it's a RELLY FUN APP,Text me is fun you can call on your kindle,user_experience
Ramon Carrasquillo,1.0 out of 5 stars,One Star,Installed but would not run and got no error messages,issue
Pc builder,5.0 out of 5 stars,Works,works perfectlyâ¦.,user_experience
M. Wells,5.0 out of 5 stars,AWESOME,I love this and its FREE,user_experience
