Profile_Name,Rating_Star,Headings,Base_Reviews,
Debra,4.0 out of 5 stars,quick,Help fire go faster,
mrs waltereckland,5.0 out of 5 stars,Review of optimizer & cleaner for kindle,Product always completes scans quickly with no glitches so far.,
GMC,3.0 out of 5 stars,Just o.k.,"Seems like it takes forever to clean and when I try t k get the details, it hangs at 57/ 200 every time. Can't see an appreciable difference in speed.",
james s.,1.0 out of 5 stars,One Star,Asked me to buy something to fix anything,
Kindle Customer,5.0 out of 5 stars,KISS,They've kept.it simple and it worked. Nothing complicated or confusing. Smooth and straight forward.,
Dexman,1.0 out of 5 stars,One Star,A scam. You must purchase the cleaner.,
Donald Poindexter,5.0 out of 5 stars,Cleaner,This cleaner is the easiest and best I have tied.,
Stephen,4.0 out of 5 stars,Cleaning up,It seems to do its thing. If I have had viruses as it says. To bad it's not really free,
Debbie Kunesh,5.0 out of 5 stars,Love this app!,Love this app!  It's fast and efficient.  Wish they had a version for my Android phone.,
J. E. Doyle Jr.,1.0 out of 5 stars,Didn't work on my Fire 7,Froze up upon downloading onto my Kindle Fire 7 so I removed it.,
Barry Cutler,5.0 out of 5 stars,Great cleaner,Great app cleaner,
lynnj,2.0 out of 5 stars,Really isn't free.,This app only scans..it is misleading & when I paid for the better version it would not download. It may be a decent app but I'm unable to access it.,
Chad K,3.0 out of 5 stars,Hopeful,Seemed to speed up tablet,
Louise miller,4.0 out of 5 stars,Finally something I can understand,I have tried many cleaners and finally know what's going on. At my age i think it's great i can understand it.â˜ºâ˜ºâ˜º,
Best game ever,5.0 out of 5 stars,Easy,Love it XD ðŸ’– its fast essay awsome,
BittyLove,3.0 out of 5 stars,Idk,Idk yet if its working better or not.,
Paula,1.0 out of 5 stars,Worthless,All it did was analyze and gave me a linkj to buy a cleaner how can anyone say it's a good app?,
Bonnie & Robert  Murphy,1.0 out of 5 stars,Does it REALLY DO ANYTHING?????,"Free scan, fix costs money.  Ran scan found garbage, bought fix, ran scan found garbage so WTH. (:  Did it do anything?",
Kindle Customer,4.0 out of 5 stars,Great cleaner,A great and fast cleaning app,
Lydiann Moss.,5.0 out of 5 stars,Effectiveness,"Safe, reliable and quick.  I was skeptical about it's efficiency but, have been pleasantly surprised..",
Karen B,5.0 out of 5 stars,absolutely worth your investment!,Excellent product. Highly recommended! It vastly improved overall function of my 7 year old Kindle,
He Who Walks Alone,4.0 out of 5 stars,Ads at the end,Would have given it a 5 were it not for the forced ads when the app closes.,
Lynda Chase,4.0 out of 5 stars,Huge help,Really made my Fire run faster.,
JaniCap3MK,4.0 out of 5 stars,Great,This is a very easy app to use end it seems to be very reliable and effective . Would recommend to anybody !,
JoMarie,5.0 out of 5 stars,Thank you!,It was a lot faster...,
dan,2.0 out of 5 stars,so far so good ðŸ‘�,I just downloaded the app and it seems to be very fast at cleaning the garbage.,
debra lynn adams,5.0 out of 5 stars,would buy again.,So easy to use and fast well worth the money.,
Aaron Richards,3.0 out of 5 stars,Basic information,Need to be informed more to give a good impression of the app.,
Kindle Customer,5.0 out of 5 stars,Keeping my old kindle efficient.,"I was distressed when Amazon said they had no way to ""defrag"" my sluggish Kindle. Am delighted to have a way to pep it up!",
Kathy In Vermont,5.0 out of 5 stars,Effective,Works as advertised,
Tiffanyjane,3.0 out of 5 stars,Works ok,It works pretty good. Not sure if I really notice a difference.,
mary perez,5.0 out of 5 stars,Wonderful app,"Love it, ran the app and my fire tablet runs alot faster ! I would recommend getting this app if you have a fire tablet.",
Amazon Customer,5.0 out of 5 stars,Essential,"Very good. Essential app, period.",
Karen Quaschnick,5.0 out of 5 stars,Five Stars,Appears to be doing a great job,
kathleen,5.0 out of 5 stars,fast easy....,And thorough,
Kindle Customer,5.0 out of 5 stars,excellent,Very fast analysis and clean up. I am pleased.,
Tworiverrats,5.0 out of 5 stars,Works for me,Always speeds up my kindle fire.I recommend this app.,
Chris Wulf,3.0 out of 5 stars,Results?,I'd like to see the results of the scan,
Robert Coleman,4.0 out of 5 stars,Easy to use!,"Easy to use and understand.  Generates quick results and provides one step ""fix it"" process.",
B. Murray,5.0 out of 5 stars,Works,Works,
Ken,4.0 out of 5 stars,Good app,Would give you 5 annoying rate me won't stop til you do,
H. A. Patrick,3.0 out of 5 stars,Will see,Waiting to see if there is any improvement.,
Amazon Customer,5.0 out of 5 stars,Great app,Great app keeps my fire tablet working great!,
William,1.0 out of 5 stars,One Star,It does NOTHING,
Holly Hulett,4.0 out of 5 stars,Suitable,Was looking for something as good as cleaning all on my android phone and this is good one so far,
carly,4.0 out of 5 stars,Pretty good,It cleared out some of the gunk.,
Papajohn,5.0 out of 5 stars,Great app!  Shown considerable improvement.,"Now to get my laptop to work as efficiently as this tablet would be fantastic!!  Thank you!  If it continues to perform this well, I look forward to the upgrade.",
lisa,1.0 out of 5 stars,Too new for me to give answer.  So far don't like it,I like the older version better,
photobug,5.0 out of 5 stars,Easy to Use,It does a fast and clean checkup with ease of use.,
Anam,4.0 out of 5 stars,Useful,Really works!,
Amazon customer,3.0 out of 5 stars,OK app,Like it. Works fine.,
Tracy in Seattle,4.0 out of 5 stars,Does what it says on the tin plus a whole lot more.,"K have on!y given it four stars as I have not had it long enough to give it five. It is easy to use and you can set it to scan upon opening, which I like. I would recommend it for its ease of use and ability to detect files that maybe unsafe to your device.",
Chris Cairy,4.0 out of 5 stars,Loving it,Has helped speed up my tablet.,
Amazon Customer,5.0 out of 5 stars,Great So Far,It has worked great so far. If any problems in the future I will let you know.,
Dave Brand,4.0 out of 5 stars,First time user,Seems useful initially â€¦ want to test it out to see if continues to perfor.,
Ginny,5.0 out of 5 stars,Cost money,"Beware, to unlock all features will cost money.  I do like the ease of use.  The price wasn't too high.",
Bryan,4.0 out of 5 stars,It appears to work.,"As far as I can tell, it does what it says it does.",
Klaudia Dollbaum,5.0 out of 5 stars,Easy and works,Easy to use and works very well,
Piper,5.0 out of 5 stars,Florida Sun,Cleaner works simply and completely!!!  Glad it is keeping my tablet clean and free of viruses.,
alfred phillips,3.0 out of 5 stars,need more time,you have to rate it before seeing options.,
Heather A. Cornwell,5.0 out of 5 stars,Seems to work well. It finds trash on my ...,Seems to work well.It finds trash on my Kindle daily and empties it.,
Jh,3.0 out of 5 stars,OK?,"It always finds things, but I don't see any difference in speed, or in storage space. When you look specifically at what it did, I see the long list of apps., but there is no way to tell which of them was affected. It looks like it just shows a list of every ap on my kindle. Jh",
Kirstin Tippie,4.0 out of 5 stars,Not too bad.,Quickly cleaned but kind if confusing to use.,
Amazon Customer,5.0 out of 5 stars,Five Stars,Excellent product I welcome the app,
sauteman1,4.0 out of 5 stars,Good choice.,"Nulti-use aop ; virus tool is adequate, haven't seen speed boost ( might be my error ). Worth several looks.",
Richard L. Weatherly,4.0 out of 5 stars,Fast clean-up and detected threats.,Performs as advertised. Keeps my Kindle Fire running efficiently.,
Slim,4.0 out of 5 stars,So far so good,"So far so good, I haven't had any problems with it yet hopefully it stays this way",
Kindle Customer,4.0 out of 5 stars,Faster,Kindle does seem faster after using this app!,
Kindle Customer,5.0 out of 5 stars,A HUGE help!,"I had been looking for something to help when my Fire would get sluggish, and even freeze up at times. Paid the small fee for this app, and have been very, very happy with the results! Highly recommend it!",
L for the highest,5.0 out of 5 stars,INDISPENSABLE,"This app pick up viruses, threats and junk, other apps miss  Great app!",
Mr Phil,4.0 out of 5 stars,It does what it says,I don't ask for bells and whistles in a utility app. This app does what is says it will do. Quickly,
Vinswayn YT,5.0 out of 5 stars,Works on my Kindle Fire 10!,"Junior's system isn't open to the full array of apps as the androud, but this app does a great job of cleaning things such as junk up!  Good app that works well!",
Crystal Williams,5.0 out of 5 stars,I use it daily to keep my gear running smoothly ...,I use it daily to keep my gear running smoothly.,
David Peterson,4.0 out of 5 stars,sweeper  app,"It would seem to be quick and efficient,hopefully it is really accomplishing what I think it is.",
carol,4.0 out of 5 stars,Works well so far,Only used it three times but so far so good! Seems to work well.ðŸ˜€,
SM,4.0 out of 5 stars,cleaner,My kindle Fire has been much quicker since using this app. Would recommend.,
Peter,5.0 out of 5 stars,Great,World well,
Anonymous,4.0 out of 5 stars,so far so good!,Seems to clean junk files. No problems,
Susan SoRelle,4.0 out of 5 stars,nice app,Faster smoother,
Donald Harmon,5.0 out of 5 stars,Good,It works good,
Jennifer,1.0 out of 5 stars,One Star,Didn't work for me - deleted from my system.,
Amazon Customer,3.0 out of 5 stars,Optimizer and trash cleaner for kindle,"The app says it is working, then says to upgrade? I cant tell how good until after upgrade, then may revise my rating...",
bigdaddy,5.0 out of 5 stars,We like  it!,Thank you.it works very well. My wife out it on her fire tablet too. She loves it,
Peter Erdman,4.0 out of 5 stars,More detail,"Works well, would like some more detail of the results",
Bookaholic81,4.0 out of 5 stars,Review,This app is pretty good.,
Carolyn Virgilio,5.0 out of 5 stars,*gasps*,Oh my goshit really works!!!,
Kindle Customer,4.0 out of 5 stars,Good morning,"Working well so far.  I am very pleased.  We we see how it does in the long run,but so far very happy with it",
Jeff Dames,5.0 out of 5 stars,Worth getting!,Seems to free up a lot of storage & speed things up.Very satisfied.,
edward a carroll,5.0 out of 5 stars,IT CLEAN JUNK OUT THE BOX,Kids. Had the tablet in it last stages of a melt down . THIS APP GAVE NEW LIFE...,
geek,4.0 out of 5 stars,Worked  nicely,Worked great finding and cleaning but was slow when I went to check what was cleaned.,
Jennifer Villines,4.0 out of 5 stars,Not happy about,"I'm not happy about it not really being free, but it's a great app!",
JerryH,4.0 out of 5 stars,Hidden surprise :/,"Pretty disappointing having to upgrade to the premium content just to clean the files, but it is common in the app store. It was only $4.45 so no bank buster there.",
Amber M. Barron,4.0 out of 5 stars,"Great app, very helpful",This application was very helpful,
chip,4.0 out of 5 stars,not bad,It runs better if you buy the upgrade,
pjcsjj,5.0 out of 5 stars,Great product!,Excellent product.,
Johnny,1.0 out of 5 stars,Probably a scam,After purchase I scanned and cleaned but if I run it again looks like nothing was cleaned! Probably a scam ðŸ˜¡,
Shawn Gallagher,3.0 out of 5 stars,Where can I get free apps to clean my tablet?,Wanted to get but they charge a fee,
Jamie,4.0 out of 5 stars,Good App,Really helped speed up my kindle,
u.happy,3.0 out of 5 stars,Pop up ads,"Kindle is running faster....There is one problem. After paying for it, I get pop up ads when I adam surfing the internet. Please fix",
RIta Dalrymple,5.0 out of 5 stars,Five Stars,very helpful,
Susan Weeks,4.0 out of 5 stars,Unsure,"When I run the app, it works very quickly and says it has found many viruses and junk, but it never tells me if it cleaned them or what they were.",
Kindle Customer,3.0 out of 5 stars,Cleaner?,"Seems to find bad files and such and cleans them. But, who knows what it really does, it doesn't show what it does.Just  Does it. Doesn't seem to make a difference in performance.",
old dog,4.0 out of 5 stars,"Fast, reliable and thorough","Fast, thorough and reliable app that I'buy again in a heartbeat.",
*DMJ*,4.0 out of 5 stars,Optimizer tool,Good tool for Fire tablet...enough said.,
Robert Weiller,4.0 out of 5 stars,Four Stars,Quick and efficient,
MLR,5.0 out of 5 stars,smooth,Works great.  Found some minor issue and cleared space.  Kindle seems to run better.,
Christopther Jacobson,4.0 out of 5 stars,Good app,Is a good app to clean your kindle fire tablet,
Edward M Stevens,5.0 out of 5 stars,Good app.,"Helped my Kindle to  zooom right along!!!Good job.Thank you.Ed Stevens, NM",
Bruce Taylor,4.0 out of 5 stars,Free app.,"Simple to install, free, but to be honest, I haven't used it long enough to properly evaluate.",
Carey Zarate,3.0 out of 5 stars,need to see it work more,not sure if it works as it prompts you to rate begore seeing the results. but if my tablet runs smoother ill bump the stars up.,
Ron Hageft,1.0 out of 5 stars,One Star,WOULDN'T DOWNLOAD,
Donna Stevens,4.0 out of 5 stars,Good job cleaning,Seems to find lots of trash,
Kindle Customer,1.0 out of 5 stars,Not great Not sure if it does what it says it ...,Not greatNot sure if it does what it says it can doTo early to tell,
Bruce D.,5.0 out of 5 stars,Nice,Works for me!I feel clean now.,
Miriam May,5.0 out of 5 stars,Excellent App,My kindle works better after use.,
Katy Bigge,5.0 out of 5 stars,Good value,"So far, worth the upgrade. I will update this when I see the long term use benefits.",
GrandpaRoy,5.0 out of 5 stars,Awesome tool easy to use,"Highly useful little app, quick and easy to use. Efficient tool",
Saucy,5.0 out of 5 stars,Forget about it!,"It performs its task, what more do you want? A meatball sub? Well guess what, so do I!",
aqwizard,4.0 out of 5 stars,Initial review,It seems to work well cleaning up the garbage. Found 4 viruses.,
Bette Carter,5.0 out of 5 stars,More space!,My tablet was so full I could no longer update programs. This cleaner did exactly what it was supposed to do. It's almost like a new device now.,
Kindle Customer,4.0 out of 5 stars,If it does what it says.....,"I didn't like that it charged 4 bucks after scanned my machine, but if it does what it says and honestly takes the small amount of time it seemed to do so, then it's well worth the money.  I will re rate if it doesn't.",
Cherylmw,2.0 out of 5 stars,Second try with this app,"I originally PURCHASED this app in 7/2017. It consistently cleaned viruses and garbage until 2/2018, when it no longer found any viruses. Then, in 3/2018, it found less and less garbage until the app just disappeared from my Kindle. Just found the app back on the list of apps as a FREE download.. I decided to try it again. The  first scan found a miniscule amount of garbage and no viruses. Not optimistic, but I'll give it another try while I research other possibilities.",
Jetri,4.0 out of 5 stars,I'm liking it.,Works very similar to Ccleaner that I use on my PC. I Like it so far.,
Roy D. Ferguson,3.0 out of 5 stars,Great if you trust it.,"Two other apps have found nothing. This has found 18. Of course, they are not identified. So if you trust it -great. If you don't -terrible.",
Gregory Clapp,4.0 out of 5 stars,Curious,I think it is doing a good job bht i am curious as to why it ALWAYS removes the same amount of junk.,
Zan Barnard,4.0 out of 5 stars,Great,This is a great app for your kindle...,
Sammie Shorter,5.0 out of 5 stars,Works as advertised,Quick and easy to use. Had to purchase the piece that actually did the cleaning and optimizing.,
Amazon Customer,3.0 out of 5 stars,It does its job,"It seams to work, how well I have no idea",
Mighty Mare,1.0 out of 5 stars,Free version does not do anything beyond analysis,Dont bother downloading if you dont want to spend money.,
Zane Trichel,1.0 out of 5 stars,Don't buy this app!!,This app is a rip off and a waste of time and money,
Product reviewer The Boy Knight,4.0 out of 5 stars,generally good,"Good product enjoy the ease of use, not sure how to update the virus directory to update.",
JMH,3.0 out of 5 stars,Works,Works well as long as you purchase the app. In app purchase required to clean your device,
Carl B.,5.0 out of 5 stars,Cbuerkle251@twc.com,Works great very fast.,
Wallace,5.0 out of 5 stars,Great cleaning app,Working better than the other apps.,
Susan boyd,5.0 out of 5 stars,"Thanks I Hope it Works !..,","So For Being Free You Really Keep My Kindle Clean !!..,",
Lee Blatz,3.0 out of 5 stars,Just downloaded,Still trying it out. Rated for updates.,
Kindle Customer,5.0 out of 5 stars,Fast virus scan and optimized for Kindle,Great product.  Works very quickly.  Finds viruses and garbage files and removes them in about twenty seconds.  Improves the performance  your Kindle.  Highly recommend.,
Kindle Customer,4.0 out of 5 stars,Works great,"Seems to do what it is meant to do, tablet works much better after using this app.",
"VvM, elder word addict.",5.0 out of 5 stars,Blazingly fast.,Using this blazingly fast app. on my HDX 7. The app. wasted nary a second to clean up and finding a couple of viruses. Amazing.,
ADRIENNE,5.0 out of 5 stars,"Little app, big help","Not only did it clean up my Kindle, but it made it run a lot better also! I love this app!",
Tom Potter,2.0 out of 5 stars,Needed more software,More software was needed to make suggested changes.,
D. Caywood,3.0 out of 5 stars,App forced me to rate it,App made me rate it before I got a chance to use it.  Will try to adjust rating after a time.,
Allan De,5.0 out of 5 stars,Awesome program for the  fire,"I think that is great, application. I use one like this on my other computer.",
C. Sales,4.0 out of 5 stars,Four Stars,GOOD,
Dale Tomb,4.0 out of 5 stars,Works pretty well!,Works as anticipated.  Solid app with no issues....,
Mart McFall,4.0 out of 5 stars,good booster for hang ups,will speed up your fire hd. used free apps but nothing worked like this.,
Phylliss E,5.0 out of 5 stars,Five Stars,Amazing! So far I am very pleased with this tool!,
BMcCall,4.0 out of 5 stars,Optimizer/Trash Cleaner Tool for Kindle ðŸ”¥,"Just used the app for the first time, but going by the other reviews, my Kindle Fire should run much faster using this app.",
kimberly kroll,5.0 out of 5 stars,Cleaner app works !!!,It seemed to clean the tablet and have me back over 1 by of garbage free space,
Rich,3.0 out of 5 stars,Free app is just scan.,After scan you need to purchase cleaner. Works well but kinda shady how they make you purchase app,
Amazon Customer,4.0 out of 5 stars,Good,Good product. A goof value.,
Laquita Armstrong,5.0 out of 5 stars,Good tool,I was surprised at the function and the reasonable price charged for cleaning.  I am very pleased.,
Kym Hooper,4.0 out of 5 stars,good app,Has 4 viruses on my Kindle Fire. app removed viruses and cleaned my tablet.,
Bud Peck,2.0 out of 5 stars,Waste of time.,"First thing asked, $ 4.95",
Kindle Customer,4.0 out of 5 stars,Great app,Seems to be a great app at speading up my Kindle fire,
Michael A. Wiley,5.0 out of 5 stars,Very light and quick.,Awesome little app! Works as advertised. Keeps my goodies clean.,
Susie C Richter,4.0 out of 5 stars,Handy tool,Good quick app that finds and eliminates junk files. Handy tool.,
mkeenan5,3.0 out of 5 stars,Think I may have a winner!,It seems to be helping with speed and shuddering I was experiencing.,
Maribeth,5.0 out of 5 stars,Better,My kindle fire works better now.,
Kindle Customer,5.0 out of 5 stars,It was easy,"So fast hopefully it speeds up my tablet , we'll see!",
Headtomato,3.0 out of 5 stars,Three Stars,works,
Diane,5.0 out of 5 stars,So far so good,"I like it, haven't had any troubke. It really works pretty good so far.",
Debra Mandell,1.0 out of 5 stars,Sucked,I didn't like this,
Jan Zee,1.0 out of 5 stars,Not sure,"Seems to work ,said would clean 2.2 mb, ran it said it cleaned. Scanned again and still said 22 needed cleaning.  Maybe a waste of time.",
Bobby D. Jones,4.0 out of 5 stars,Seems to work okay,Seems to work okay. Easy interface. Although it's always difficult to know if all viruses have been cleaned.,
Bigdaddyhart,4.0 out of 5 stars,kindle fire virus and malware,So far this is a very good app.,
mariana,3.0 out of 5 stars,Marian,Not quite sure yet how etc this is. Need time to evaluate.,
Zauberfloete,5.0 out of 5 stars,Five Stars,good programm,
nkseahawk,4.0 out of 5 stars,Great App,This works very well and is easy to use. I like to ensure that all of my devices are kept clean. I use this app every day.,
Michael K Wolff,5.0 out of 5 stars,New,I really like this App so far!,
Louise Stanley,5.0 out of 5 stars,Easy and quick,Great virus cleaner. Easy to set up and use. And I noticed a definite improvement in my performance. Definitely recommend it!,
Amazon Customer,3.0 out of 5 stars,Awsome,Good ðŸ‘�ðŸ‘�ðŸ‘�,
"Very good game, keeps you hooked. Wil.",4.0 out of 5 stars,Quick Fast and Easy,"Downloaded and and ran the app., it cleaned my tablet right away. My tablet is much faster.",
Christy Marzian,5.0 out of 5 stars,Tablet Optimized & Cleaner,It's Awesome,
Keith B Rager,4.0 out of 5 stars,"So far, so good.",Easy to install and use.  No problems so far and Fire runs noticeably faster.,
PaulaD,5.0 out of 5 stars,Mr Cleaner,Seems to do the job. Viruses and garbage gone!,
Bonnie Nabors,4.0 out of 5 stars,Helps fire speed,Works great to speed up my fire tablet.,
William P.,1.0 out of 5 stars,One Star,Big disappointment waste of time,
jfg,5.0 out of 5 stars,used on all my computers,I've used this program for many years and found fast and thorough.  I have it on every computer I use love itI highly recommend it,
Steven C. Thompson,5.0 out of 5 stars,Viruses,Finds and cleans viruses very effectively.  Helped my run smoother.,
PamelaSue,4.0 out of 5 stars,Easy,"This app is easy to use, finds issues and resolves them quickly!",
brf2,4.0 out of 5 stars,Four Stars,works well at identifying problems then you must buy the cleaner!,
Irish Lass,2.0 out of 5 stars,Two Stars,It stops all the time.,
Amazon Customer,4.0 out of 5 stars,Damn Nice App!,A welcome addition to my Fire! Thanks...,
mortgagemom,4.0 out of 5 stars,Pleased,Excellent cleaner and organizer...,
Demetrius L,4.0 out of 5 stars,Good,"I can rely on the app to rid my device of any junk and minimal viruses, but the need for it to advertise at any opportune moment makes this less appealing.",
Linda J. Zwobota,4.0 out of 5 stars,ok,Seems to work. I guess I had viruses. Good to get rid of garbage to free up space. Not much more to say.,
erich t. reich,4.0 out of 5 stars,good and fast,Helps speed up of searches,
Linda N.,2.0 out of 5 stars,Somewhat helpful!,Not perfect,
LH,3.0 out of 5 stars,Ok but not great,Average. My device still runs slow sometimes. But better than nothing  at all.,
Bailey,5.0 out of 5 stars,great utility,simple to install and easy to use. long needed,
Walter Dustmann,5.0 out of 5 stars,Great little app,"Nice, fast, and really seems to work. Fire tablet running smoothly.",
quiltinglady,5.0 out of 5 stars,Great cleaner. !!,I am really glad I found this free c!eaner!  Really works well. I would definitely recommend this .,
bseddie,5.0 out of 5 stars,A ok,It seems to be doing what it is supposed to do. No problem so far.,
James L Gardner,5.0 out of 5 stars,I like it,It works very well. Keeps tablet running smoothly.,
Amazon Customer,4.0 out of 5 stars,inexpensive,seemed to help game app run smother,
Kindle Customer,5.0 out of 5 stars,Optimizes,Works great,
Joe Mc,4.0 out of 5 stars,Very useful,"This app is very useful but very limited as well. One button clean is nice, but I would like to see more options opened up to the user.",
Marc Stocks,4.0 out of 5 stars,Works ðŸ‘�,Use regularly. Keep device fast.,
Kathryn Pearson,4.0 out of 5 stars,"So far, so good",It runs quickly and it seems to do it's job.,
Araceli Miranda,3.0 out of 5 stars,ok,This app is ok.,
Kelly,5.0 out of 5 stars,Fast!,Very fast cleaning,
Scott M.,4.0 out of 5 stars,App works well,The app does a pretty good job of cleaning up my tab!et. I notice a difference in performance after it runs and is relatively fast at cleaning up old data.,
Verified Customer,5.0 out of 5 stars,Great app,"Worked great, very fast",
David E. Hall,4.0 out of 5 stars,Easy to use,"Easy to use, helps things run better faster",
Kindle Customer,4.0 out of 5 stars,No Problems!,"After using a popular cleaner, booster, virus scanning program for several years it occured to me that on three different tablets - and a zillion scans -not one virus had ever been detected. Upon noticing this application was designed for Kindle Fire tablets I thought I'd give it a go. On the first scan two viruses were found, cleaned, and eliminated. Today fourteen more were discovered! The process is lightning fast - no long wait. My Kindle Fire is working great.  Plus, I like the fact that this application is providing a higher level of protection for my tablet. There's a huge investment of money, time, and irreplaceable information on my tablet. It's foolish not to protect it.",
k jones,5.0 out of 5 stars,kindle cleaner,"If this really is as  good  as it appears, it is great. But, for now the jury is still out!!",
Robert Wagner,4.0 out of 5 stars,Bob Reviews,Looks good to me. Thanks,
Rich Perilli,1.0 out of 5 stars,One Star,"Says its free, then literally asks you to pay for it as soon as you load it up",
Mark A. Murray,4.0 out of 5 stars,Cleaner,Does a good job of freeing up space,
A. Mcleran,4.0 out of 5 stars,I like it,App seems to help speed. I like it!,
Robert W. Barber,4.0 out of 5 stars,Clean and Simple.,Good results! Much more speed after use. Will continue using!,
bt5080,5.0 out of 5 stars,Good App!,Seems to do the job.,
Becky E.,1.0 out of 5 stars,Rip off,Requires that you purchase another app to remove what it found.  Scam!,
Dorothy Atkinson,5.0 out of 5 stars,ease clean,"Help me keep my tablet cleaned up and,running,smooth",
Ablesd1,3.0 out of 5 stars,Questionable,"Can't see much difference in my Fire's performance, speed of uploading or anti-virus protection.",
Dylan,4.0 out of 5 stars,"Fast, safe, and thorough","Fast, safe, and thorough.",
Jacqueline Christian,4.0 out of 5 stars,Download unless you have a short,"Great App but each time you plug in your charger you see an advertisement and it gets annoying but, other than that it's a good app.ðŸ‘�ðŸ‘�ðŸ‘�",
Kindle Customer,4.0 out of 5 stars,Fast working,The app is fast in finding viruses and cleaning them from my Kindle.,
Anvilheadsix,1.0 out of 5 stars,Fraud!!!! Do Not Download!!!,The initial scan is free. To get the product to do anything you have to pay nearly $5. I am shocked Amazon would allow a bait and switch like this in their appstore.,
Walker Sloane,5.0 out of 5 stars,Assured,"Easy, affordable,",
Mai,5.0 out of 5 stars,Fast,Easy to use.,
yogabyflo,4.0 out of 5 stars,Pretty good app,Seems to work well. No complaints.,
russell,4.0 out of 5 stars,a must have,one of the best apps for cleaning your kindle of unwanted data,
George   coats,4.0 out of 5 stars,Good program,Cleaned up greatGccoats@hotmail.com,
T. R. Wheeler,5.0 out of 5 stars,Love my tablet,Love this tablet. It is my second one. I would buy another one when ever the need arise.,
Casie C,3.0 out of 5 stars,got the pd version,Bought the paid version will see how it works out with the review written to get the free updates as well. Will update review after using app for awhile.,
L1955,2.0 out of 5 stars,Says free,"Free to download but not free to use, analyzes junk but in order to clean tablet you have download clear at a cost.",
Jared R Towler,1.0 out of 5 stars,Hate these pay later apps.,"Another, get me for free then pay if you want to use me. Just say so up front.",
DaddyOh,1.0 out of 5 stars,Obscure,Obscure software. Not sure how much it actually does. Not free as stated.,
YL LOVES the Coin dozer...don't have to wait for the State Fair to come to town!!!,5.0 out of 5 stars,Finally,This the third app I've tried.  This one really does clean up and gets rid of the bad. My Fire is definitely working faster than it was.  Thanks people.,
sincitygal,2.0 out of 5 stars,Forced rating doesn't equal good review,to require a review to access  the full features that are imp!yes before adding app does you very little. I will however come back to change my review once  I use app for s few weeks,
Kindle Customer,5.0 out of 5 stars,Easy to use!  Works great,"A wonderful tool, simple to use, and a great improvement over other products",
JimP,1.0 out of 5 stars,This application appears to be a hoax,I've had this application for 4 days now.  It's on my carousel (Fire HDX) every time I open my tablet.  I have manually run the application three times in the last 15 minutes.  It comes back listing all the same garbage and viruses it says it's cleaned (with the last run).  THE SAME ONES EVERY SINGLE TIME......WITHIN THE LAST 15 MINUTES!  Apparently it isn't cleaning anything.  I'm not the least bit impressed. If I get the same message tomorrow I'm going to toast it off my tablet.  I can live with wasting four dollars.  I can't recommend this to anyone.,
jazzishaz,5.0 out of 5 stars,Surprised!,Sure sped up my Kindle!,
Bryan Newton,3.0 out of 5 stars,so far so good,"I just got this app and realized it's scan only, but it did find some viruses. I guess I need to buy the cleaner.so far it seems like it's doing a good job.",
Imric,1.0 out of 5 stars,BAIT AND SWITCH!!!!!,"Unless you want to pay, don't waste your time downloading. The FCC should fine these liars. Free download, yeah, but after scanning you have to pay to clean. I hope kindle isn't supporting them or to shame on them too.",
Richard,3.0 out of 5 stars,Three Stars,We'll see if it does the job.....only had it for three days!,
Linda M Grade,5.0 out of 5 stars,Fantastic Product...,"It really cleaned up the garbage on my tablet, super fast. Very happy with my purchase.",
SHARON ROMEE,4.0 out of 5 stars,To soon to tell,So far I am impressed.  Does this clean and delete completely or store in archive file and wait for more like items?,
Jim Long,4.0 out of 5 stars,Love it!,Wow! Saw a result right away. A much needed app.,
Joanne M. Laurent,4.0 out of 5 stars,Four Stars,Quick and easy,
Amazon Customer,5.0 out of 5 stars,Speedy app,Works fast and sped up my Kindle.,
Brian Quigley,5.0 out of 5 stars,Effective,Very easy to use and really speeds up all aspects of usage of the tablet.,
dpw49,1.0 out of 5 stars,Nada,It did nothing,
Kindle Customer,5.0 out of 5 stars,Needed,"Quick, easy & effective.",
Margaret Curtis,4.0 out of 5 stars,Good,I've only used a couple of times but it seems to work well.,
robert retel,1.0 out of 5 stars,OK,Not used.,
tom,5.0 out of 5 stars,Five Stars,works,
CS,1.0 out of 5 stars,Appears to be a scam,"This app is a scam. Downloaded and ran it.  It reported there were 3 viruses but if you select the Clean button you are taken to a screen to BUY the ability to clean. I thought maybe it did not install right. So I uninstalled and reinstalled it. Ran the scan and now get a report that says I have 8 viruses. Clean still takes to page to buy cleaner capability.  So, at this point it looks like even the Scan function is a scam, reporting random different results from 2 different installs in less that 5 minutes.  I am surprised Amazon allows this deceptive practice. It appears Amazon does not vet the apps. Very disappointing.",
UncleFred,5.0 out of 5 stars,Fast,this app cleans my Fire incredibly fast.,
mark m. behlke,1.0 out of 5 stars,Bait n switch,Free version doesn't really do much w/o purchase of full version,
KM.V.,4.0 out of 5 stars,FrEe!!  fReE!!,The price is right!,
Old Mariner,5.0 out of 5 stars,Great,Seems to do the job as advertised on my opinion,
Amazon Customer,4.0 out of 5 stars,Good app to use,Seems to work pretty good.,
Amazon Customer,4.0 out of 5 stars,Clean and Optimize,Pretty much does everything it says it will do.,
